id,Quién,Dirección,Coordenadas,Ciudad ,País,Qué reciben,Contacto
1,Comando Con Venezuela,Av. Marqués del Pumar diagonal al Hotel Comercio Casa Azul ,"8.62573709435974, -70.21770857282739",Barinas,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",
2,Comando Con Venezuela,"Municipio Ezequiel Zamora Restaurant O'Maria Carrera 5 con calles 18 y 19, Santa Bárbara de Barinas","7.814516915481565, -71.18114411841017",Barinas,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",0424714 10 72 — 0424 7463080
3,Comando Con Venezuela,Municipio Cruz Paredes Av Bolívar diagonal al Hotel del Búfalo Casa Azul Barrancas ,,Barinas,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",4145298154
4,Sociedad civil,"Tatas Food, carrera 15 entre calles 13A y 13B","10.05968145700956, -69.35052676449241",Barquisimeto,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",
5,Voluntariado Higea,Biotel Suites,"10.068303772615856, -69.35608257982146",Barquisimeto,Venezuela,"Alimentos no perecederos, medicinas, insumos médicos, cobijas y ropa",https://www.instagram.com/voluntariadohigea?igsh=MXBxYXAzdHh3cnBsdg==
6,Voluntariado Higea,Fundación Higea,"10.078761563516972, -69.31019102553456",Barquisimeto,Venezuela,"Alimentos no perecederos, medicinas, insumos médicos, cobijas y ropa",https://www.instagram.com/voluntariadohigea?igsh=MXBxYXAzdHh3cnBsdg==
7,Colegio Las Colinas,"Colegio Las Colinas, entrada El Pedregal","10.060280973564453, -69.28194966447327",Barquisimeto,Venezuela,"Herramientas, insumos médicos y medicamentos",https://www.instagram.com/colegiolascolinas1969?igsh=MWt6cG5taHg2d2N5bA==
8,Cámara de Comercio de Bolívar ,"Sede de la Cámara de Comercio e Industrias del estado Bolívar, av Táchira ","8.132865010459682, -63.54410565096583",Bolívar,Venezuela,"Agua, alimentos, insumos médicos, artículos de higiene, ropa y sábanas ",@camaradecomerciobolivar
9,Comando Con Venezuela,"Municipio Caroní: Centro Comercial Biblos. Primer piso, Local 71 C. Antes Todo limpio (Frente a los trailer de Bauxilum y al lado de la Bomba Biblos) Unare II.","8.277558393864988, -62.756148650924466",Bolívar,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",https://www.instagram.com/p/DZ_0rjlljwk/?igsh=MWJwbTk1MXhhYWtkcg%3D%3D
10,Comando Con Venezuela, Municipio Heres: Av Pichincha Edificio Tequendama Local No 4.,"8.128589043462492, -63.54621670884486",Bolívar,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",https://www.instagram.com/p/DZ_0rjlljwk/?igsh=MWJwbTk1MXhhYWtkcg%3D%3D
11,Fitness Factory Cabudare,"CC Hipermercado Multimall, Avenida El Placer, con Av. Libertador,","10.037954617697917, -69.27696848530664",Cabudare,Venezuela,"Agua, alimentos no perecederos, productos de higiene personal, pañales, formula para bebés, cobijas, mantas y ropa en buen estado",https://www.instagram.com/p/DaApx5TAAkN/?img_index=1&igsh=MWprOWNwODh2eHowdA==
12,Rescatistas y vecinos,"Edificio Petunia, Av Francisco de Miranda entre Los Palos Grandes y Altamira","10.497912389016717, -66.8477711386003",Caracas,Venezuela,"Agua, alimentos no perecederos",
13,Rescatistas y vecinos,"Altamira, frente a la sede de la CAF","10.498929331667387, -66.84832596634126",Caracas,Venezuela,"Agua, alimentos no perecederos",Victoria Castillo 04121937746/Desireé Lugo 04249050118
14,Comando Con Venezuela,"Cuarta avenida de Altamira, entre novena y décima transversal; quinta El Bejucal.","10.510624523203594, -66.85290362216404",Caracas,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",https://www.instagram.com/p/DZ_kBlyIVRI/?hl=es
15,Comando Con Venezuela,Iglesia La Paz en Montalbán I. Municipio Libertador,"10.475873230212263, -66.95059189251715",Caracas,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",https://www.instagram.com/p/DZ_puvBIAO3/?hl=es
16,Comando Con Venezuela,Iglesia San Bernardino de Siena. Parroquia San Bernardino.,"10.513941471752892, -66.90172426453836",Caracas,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",https://www.instagram.com/p/DZ_puvBIAO3/?hl=es
17,Sociedad civil,"Quinta el Bejucal, cuarta av transversal de Altamira, entre novena y décima transversal",,Caracas,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencería",
18,Cáritas Venezuela,"Sede de la conferencia Episcopal Venezolana, Avenida Teherán, a 200 metros de la Universidad Católica Andrés Bello (UCAB), frente a la Urbanización Juan Pablo II, en el sector de Montalbán.","10.46728347692278, -66.96836523568012",Caracas,Venezuela,,
19,Fundación Cruz Azul,"Fitness factory VE, 4 avenida de Los Palos Grandes entre 1ra y 2da transversal","10.502559221824809, -66.84659049334614",Caracas,Venezuela,Insumos médicos,https://www.instagram.com/cruzazulusm
20,Instituto de Diseño de Caracas,"Av. Ávila, Caracas 1060, Miranda","10.497144822463262, -66.8532426645166",Caracas,Venezuela,"Agua potable, ropa (prioridad sueteres) cobijas, comida, insumos medicos, linternas, cascos, martillos, chalecos, artículos de higiene ",4123212782
21,Gobierno de Venezuela,Fundación Social Bolívar (Sede 911),,Caroní,Venezuela,"Alimentos no perecederos, agua, medicamentos y ropa en buen estado",
22,Gobierno de Venezuela,Mundo de Sonrisas ,"8.128437741164435, -63.54454026384825",Ciudad Bolívar ,Venezuela,"Alimentos no perecederos, agua, medicamentos y ropa en buen estado",
23,Rotaract Santo Ángel,"Croquínea a un lado de la Clínica Razzeti, Altavista","8.295134005207371, -62.734084411562236",Ciudad Guayana,Venezuela,"Agua, alimentos no perecederos, enlatados, productos de higiene personal, pañalaes, toallas sanitarias, insumos médicos, lencería, comida para animales",Victoria Castillo 04121937746/Desireé Lugo 04249050118
24,Rotaract Santo Ángel,Laboratorio Roraima Clínica Humana San Felix,"8.361775298738507, -62.666026474127676",Ciudad Guayana,Venezuela,Venezuela,Victoria Castillo 04121937746/Desireé Lugo 04249050118
25,Rotaract Santo Ángel,UCAB Guayana Extensión Social Universitaria,"8.297310424794086, -62.711355704982545",Ciudad Guayana,Venezuela,"Agua, alimentos no perecederos, enlatados, productos de higiene personal, pañalaes, toallas sanitarias, insumos médicos, lencería, comida para animales",Victoria Castillo 04121937746/Desireé Lugo 04249050118
26,Rotaract Santo Ángel,Terraza Box Villa Alianza junto a la clínica Santa Isabel,"8.30609708958305, -62.7188576043689",Ciudad Guayana,Venezuela,"Agua, alimentos no perecederos, enlatados, productos de higiene personal, pañalaes, toallas sanitarias, insumos médicos, lencería, comida para animales",Victoria Castillo 04121937746/Desireé Lugo 04249050118
27,Rotaract Santo Ángel,Crazy Pets Orinokia Mall,"8.292619625030907, -62.741633079795804",Ciudad Guayana,Venezuela,"Agua, alimentos no perecederos, enlatados, productos de higiene personal, pañalaes, toallas sanitarias, insumos médicos, lencería, comida para animales",Victoria Castillo 04121937746/Desireé Lugo 04249050118
28,Sociedad civil,FCU-UCV,"10.491838298877855, -66.88887722244455",Distrito Capital,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencería",
29,Sociedad civil,Frente a la iglesia Rumana en la entrada a la vía de La Unión,"10.418468487142762, -66.82119856714901",El Hatillo,Venezuela,URGENTE:  alimento para bebés y pañales.,0414/2384085
